Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research
273,294.0,95.0,1,1.5,1.5,7.64,0
22,325.0,114.0,4,3.0,2.0,8.4,0
70,,115.0,4,4.5,4.0,,1
255,321.0,114.0,4,4.0,5.0,9.12,0
187,317.0,107.0,3,3.5,3.0,8.68,1
335,312.0,107.0,4,4.5,4.0,8.65,1
96,304.0,100.0,4,1.5,2.5,7.84,0
28,298.0,,2,1.5,2.5,,1
397,325.0,107.0,3,3.0,3.5,9.11,1
171,312.0,101.0,2,2.5,3.5,8.04,1
213,338.0,120.0,4,5.0,5.0,9.66,1
275,315.0,100.0,1,2.0,2.5,7.95,0
49,321.0,110.0,3,3.5,5.0,8.85,1
14,307.0,109.0,3,4.0,3.0,8.0,1
367,320.0,,3,3.5,4.5,8.34,1
334,319.0,108.0,3,3.0,3.5,,1
65,325.0,111.0,3,3.0,3.5,8.7,0
15,311.0,104.0,3,3.5,2.0,8.2,1
297,310.0,107.0,3,3.5,3.5,8.67,0
250,321.0,111.0,3,3.5,4.0,8.83,1
110,,103.0,5,5.0,4.0,8.64,0
135,333.0,113.0,5,4.0,4.0,9.28,1
98,331.0,120.0,3,4.0,4.0,8.96,1
128,319.0,,3,2.5,2.0,8.71,1
167,302.0,102.0,3,3.5,5.0,8.33,0
243,324.0,115.0,3,3.5,3.0,8.76,1
289,314.0,104.0,4,5.0,5.0,9.02,0
33,338.0,118.0,4,3.0,4.5,9.4,1
16,314.0,105.0,3,3.5,2.5,8.3,0
191,324.0,111.0,5,4.5,4.0,9.16,1
265,325.0,110.0,2,3.0,2.5,8.76,1
372,324.0,110.0,3,3.5,3.0,9.22,1
106,316.0,110.0,3,4.0,4.5,8.78,1
202,315.0,110.0,2,3.5,3.0,8.46,1
11,325.0,106.0,3,3.5,4.0,8.4,1
236,326.0,111.0,5,4.5,4.0,9.23,1
310,308.0,110.0,4,3.5,3.0,8.6,0
381,322.0,104.0,3,3.5,4.0,8.84,1
339,323.0,108.0,5,4.0,4.0,8.74,1
162,298.0,99.0,1,1.5,3.0,7.46,0
280,304.0,102.0,2,3.0,4.0,8.73,0
105,326.0,112.0,3,3.5,3.0,9.05,1
6,330.0,115.0,5,4.5,3.0,9.34,1
179,309.0,108.0,3,2.5,3.0,,0
379,303.0,98.0,1,2.0,2.5,7.65,0
399,312.0,103.0,3,3.5,4.0,8.78,0
398,330.0,116.0,4,5.0,4.5,9.45,1
295,,101.0,2,2.5,2.0,8.32,1
326,326.0,116.0,3,3.5,4.0,9.14,1
26,340.0,120.0,5,4.5,4.5,9.6,1
119,296.0,99.0,2,3.0,3.5,7.28,0
313,311.0,107.0,4,4.5,4.5,9.0,1
357,327.0,109.0,3,3.5,4.0,8.77,1
325,,104.0,3,3.0,2.5,8.33,0
350,313.0,101.0,3,2.5,3.0,8.04,0
252,316.0,99.0,2,2.5,3.0,9.0,0
177,,,4,4.5,4.5,9.16,1
270,,108.0,4,4.5,5.0,8.34,0
278,320.0,101.0,2,2.5,3.0,8.62,0
346,316.0,98.0,1,1.5,2.0,7.43,0
150,311.0,106.0,2,3.5,3.0,8.26,1
391,314.0,102.0,2,2.0,2.5,8.24,0
220,312.0,104.0,3,3.5,3.5,8.42,0
207,315.0,99.0,2,3.5,3.0,7.89,0
114,320.0,110.0,2,4.0,3.5,8.56,0
324,305.0,102.0,2,2.0,2.5,8.18,0
176,320.0,111.0,4,4.5,3.5,8.87,1
395,329.0,111.0,4,4.5,4.0,9.23,1
19,318.0,110.0,3,4.0,3.0,8.8,0
137,312.0,103.0,3,5.0,4.0,8.45,0
198,310.0,106.0,2,3.5,2.5,8.33,0
127,323.0,113.0,3,4.0,3.0,9.32,1
264,324.0,111.0,3,2.5,1.5,8.79,1
288,324.0,114.0,5,5.0,4.5,9.08,1
101,322.0,107.0,3,3.5,3.5,8.46,1
319,324.0,111.0,3,2.5,2.0,8.8,1
1,337.0,118.0,4,4.5,4.5,9.65,1
201,317.0,,3,2.5,3.0,8.54,1
384,300.0,100.0,3,3.0,3.5,8.26,0
42,316.0,105.0,2,2.5,2.5,8.2,1
8,308.0,101.0,2,3.0,4.0,7.9,0
327,299.0,100.0,3,2.0,2.0,8.02,0
136,314.0,109.0,4,3.5,4.0,8.77,1
299,330.0,114.0,3,4.5,4.5,9.24,1
227,306.0,110.0,2,3.5,4.0,8.45,0
121,335.0,117.0,5,5.0,5.0,9.56,1
25,336.0,119.0,5,4.0,3.5,9.8,1
301,309.0,106.0,2,2.5,2.5,8.0,0
349,302.0,99.0,1,2.0,2.0,7.25,0
241,296.0,101.0,1,2.5,3.0,7.68,0
46,322.0,110.0,5,5.0,4.0,9.1,1
13,328.0,112.0,4,4.0,4.5,9.1,1
51,313.0,98.0,3,2.5,4.5,8.3,1
32,,103.0,3,4.0,4.0,8.3,1
365,313.0,102.0,3,3.5,4.0,8.9,1
74,314.0,108.0,4,4.5,4.0,9.04,1
322,323.0,104.0,3,4.0,4.0,8.44,1
287,336.0,118.0,5,4.5,4.0,9.19,1
383,324.0,110.0,4,4.5,4.0,9.15,1
254,335.0,115.0,4,4.5,4.5,9.68,1
166,322.0,110.0,5,4.5,4.0,,0
194,336.0,118.0,5,4.5,5.0,9.53,1
55,322.0,110.0,3,3.0,3.5,8.0,0
197,306.0,105.0,2,3.0,2.5,8.26,0
378,290.0,100.0,1,1.5,2.0,7.56,0
71,332.0,118.0,5,5.0,5.0,9.64,1
345,295.0,96.0,2,1.5,2.0,7.34,0
68,316.0,107.0,2,3.5,3.5,8.64,1
203,340.0,120.0,5,4.5,4.5,9.91,1
336,325.0,111.0,4,4.0,4.5,9.11,1
248,311.0,104.0,2,2.5,3.5,8.48,0
63,304.0,105.0,2,3.0,3.0,8.2,1
131,339.0,114.0,5,4.0,4.5,9.76,1
164,317.0,105.0,3,3.5,3.0,8.56,0
294,312.0,98.0,1,3.5,3.0,8.18,1
10,323.0,108.0,3,3.5,3.0,8.6,0
343,308.0,,3,3.0,3.0,8.24,0
237,325.0,112.0,4,4.0,4.5,9.17,1
93,298.0,98.0,2,4.0,3.0,8.03,0
139,326.0,116.0,2,4.5,3.0,9.08,1
389,296.0,97.0,2,1.5,2.0,7.8,0
261,327.0,108.0,5,5.0,3.5,9.13,1
94,301.0,97.0,2,3.0,3.0,7.88,1
251,320.0,104.0,3,3.0,2.5,8.57,1
18,319.0,106.0,3,4.0,3.0,8.0,1
352,325.0,110.0,4,3.5,4.0,8.67,1
304,323.0,107.0,3,3.5,3.5,8.55,1
396,324.0,110.0,3,3.5,3.5,9.04,1
200,313.0,107.0,3,4.0,4.5,,0
159,,106.0,2,2.0,2.5,,0
30,310.0,99.0,2,1.5,2.0,7.3,0
377,297.0,96.0,2,2.5,2.0,7.43,0
263,308.0,103.0,2,2.5,4.0,8.36,1
225,305.0,105.0,2,3.0,2.0,8.23,0
373,336.0,,4,4.5,4.0,9.62,1
321,317.0,106.0,3,4.0,3.5,8.5,1
235,330.0,113.0,5,5.0,4.0,9.31,1
333,308.0,,3,3.5,2.5,8.21,1
188,335.0,118.0,5,4.5,3.5,9.44,1
21,312.0,107.0,3,3.0,2.0,7.9,1
329,324.0,112.0,4,4.0,3.5,8.77,1
331,327.0,113.0,3,3.5,3.0,8.66,1
244,325.0,114.0,3,3.5,3.0,9.04,1
52,312.0,100.0,2,1.5,3.5,7.9,1
83,320.0,110.0,5,5.0,4.5,9.22,1
120,327.0,104.0,5,3.0,3.5,8.84,1
87,315.0,106.0,3,4.5,3.5,8.42,0
69,318.0,109.0,3,3.5,4.0,9.22,1
7,321.0,109.0,3,3.0,4.0,,1
385,,113.0,4,5.0,5.0,9.74,1
272,299.0,96.0,2,1.5,2.0,7.86,0
214,333.0,119.0,5,5.0,4.5,,1
97,306.0,100.0,2,3.0,3.0,8.0,0
117,299.0,102.0,3,4.0,3.5,,0
246,328.0,110.0,4,4.0,2.5,9.02,1
364,306.0,103.0,2,2.5,3.0,8.36,0
208,,102.0,3,3.5,4.0,8.02,1
300,305.0,112.0,3,3.0,3.5,8.65,0
116,310.0,106.0,4,4.5,4.5,9.04,1
228,312.0,110.0,2,3.5,3.0,8.53,0
88,317.0,107.0,2,3.5,3.0,,0
40,307.0,108.0,2,4.0,3.5,7.7,0
62,307.0,101.0,3,4.0,3.0,8.2,0
132,303.0,105.0,5,5.0,4.5,8.65,0
245,314.0,107.0,2,2.5,4.0,8.56,0
282,317.0,110.0,3,4.0,4.5,9.11,1
218,321.0,109.0,4,4.0,4.0,9.13,1
175,321.0,111.0,4,4.0,4.0,8.97,1
158,309.0,104.0,2,2.0,2.5,8.26,0
17,317.0,107.0,3,4.0,3.0,8.7,0
253,,100.0,2,2.5,3.5,8.54,1
286,331.0,116.0,5,4.0,4.0,9.26,1
382,319.0,105.0,3,3.0,3.5,8.67,1
219,324.0,110.0,4,3.0,3.5,8.97,1
108,338.0,117.0,4,3.5,4.5,9.46,1
23,328.0,116.0,5,5.0,5.0,9.5,1
354,300.0,102.0,3,3.5,2.5,8.17,0
192,323.0,110.0,5,4.0,5.0,8.98,1
129,326.0,112.0,3,3.5,3.0,9.1,1
138,316.0,100.0,2,1.5,3.0,8.16,1
374,321.0,109.0,3,3.0,3.0,8.54,1
238,329.0,114.0,5,4.5,5.0,9.19,1
142,332.0,118.0,2,4.5,3.5,9.36,1
283,,106.0,3,4.0,3.5,8.79,1
210,301.0,104.0,3,3.5,4.0,8.12,1
50,327.0,111.0,4,3.0,4.0,,1
284,321.0,111.0,3,2.5,3.0,8.9,1
360,321.0,107.0,2,2.0,1.5,8.44,0
90,316.0,109.0,4,4.5,3.5,8.76,1
190,324.0,112.0,5,5.0,5.0,9.08,1
152,332.0,116.0,5,5.0,5.0,9.28,1
281,311.0,102.0,3,4.5,4.0,8.64,1
92,299.0,97.0,3,5.0,3.5,7.66,0
143,331.0,115.0,5,4.0,3.5,9.44,1
390,320.0,108.0,3,3.5,4.0,8.44,1
223,324.0,,4,4.5,4.0,8.79,0
311,320.0,104.0,3,3.0,3.5,8.74,1
332,311.0,105.0,2,3.0,2.0,8.12,1
12,,111.0,4,4.0,4.5,9.0,1
113,301.0,107.0,3,3.5,3.5,8.34,1
89,314.0,108.0,3,4.5,3.5,8.14,0
103,314.0,106.0,2,4.0,3.5,8.25,0
76,329.0,114.0,2,2.0,4.0,8.56,1
212,328.0,110.0,4,5.0,4.0,9.14,1
122,334.0,119.0,5,4.5,4.5,9.48,1
222,316.0,110.0,3,3.5,4.0,8.56,0
320,327.0,113.0,4,3.5,3.0,8.69,1
366,330.0,114.0,4,4.5,3.0,9.17,1
388,307.0,105.0,2,2.0,3.5,8.1,0
369,298.0,92.0,1,2.0,2.0,7.88,0
271,306.0,105.0,2,2.5,3.0,8.22,1
363,338.0,115.0,5,4.5,5.0,9.23,1
257,309.0,99.0,3,4.0,4.0,8.56,0
290,313.0,,3,4.0,3.5,9.0,0
353,303.0,,2,3.0,3.5,8.06,1
274,312.0,99.0,1,1.0,1.5,8.01,1
180,307.0,102.0,3,3.0,3.0,8.27,0
27,322.0,109.0,5,4.5,3.5,8.8,0
174,323.0,113.0,4,4.0,4.5,9.23,1
258,324.0,100.0,3,4.0,5.0,8.64,1
330,297.0,96.0,2,2.5,1.5,7.89,0
341,312.0,107.0,3,3.0,3.0,8.46,1
145,325.0,112.0,2,3.0,3.5,8.96,1
53,334.0,116.0,4,4.0,3.0,8.0,1
316,308.0,104.0,2,2.5,3.0,8.07,0
34,340.0,114.0,5,4.0,4.0,9.6,1
355,297.0,98.0,2,2.5,3.0,7.67,0
78,301.0,99.0,2,3.0,2.0,8.22,0
267,312.0,105.0,2,2.0,2.5,8.45,0
293,302.0,99.0,2,1.0,2.0,7.97,0
29,295.0,93.0,1,2.0,2.0,7.2,0
392,318.0,106.0,3,2.0,3.0,8.65,0
186,327.0,113.0,4,4.5,4.5,9.11,1
308,325.0,112.0,4,4.0,4.0,9.0,1
169,,97.0,2,2.0,4.0,7.8,1
347,304.0,97.0,2,1.5,2.0,7.64,0
215,331.0,117.0,4,4.5,5.0,9.42,1
279,308.0,103.0,2,3.0,3.5,8.49,0
140,318.0,109.0,1,3.5,3.5,9.12,0
380,311.0,99.0,1,2.5,3.0,8.43,1
44,332.0,,4,4.5,4.0,9.1,0
204,334.0,120.0,5,4.0,5.0,9.87,1
209,305.0,106.0,2,3.0,3.0,8.16,0
172,,117.0,5,4.0,4.5,9.07,1
224,308.0,109.0,2,3.0,4.0,8.45,0
226,296.0,99.0,2,2.5,2.5,8.03,0
60,,104.0,2,2.0,2.0,8.3,0
85,340.0,115.0,5,4.5,4.5,9.45,1
134,323.0,112.0,5,4.0,4.5,8.78,0
205,298.0,105.0,3,3.5,4.0,8.54,0
307,323.0,110.0,3,4.0,3.5,9.1,1
221,313.0,103.0,3,4.0,4.0,8.75,0
107,329.0,111.0,4,4.5,4.5,9.18,1
230,,111.0,4,3.0,3.0,9.01,1
123,310.0,106.0,4,1.5,2.5,8.36,0
64,315.0,107.0,2,4.0,3.0,8.5,1
285,340.0,112.0,4,5.0,4.5,9.66,1
73,321.0,111.0,5,5.0,5.0,9.45,1
185,316.0,106.0,2,2.5,4.0,8.32,0
104,317.0,104.0,2,4.5,4.0,8.47,0
318,300.0,99.0,1,1.0,2.5,8.01,0
130,333.0,118.0,5,5.0,5.0,9.35,1
375,315.0,105.0,2,2.0,2.5,7.65,0
163,318.0,109.0,3,3.0,3.0,8.5,0
157,315.0,105.0,3,2.0,2.5,8.34,0
41,,110.0,3,3.5,3.0,8.0,1
20,303.0,102.0,3,3.5,3.0,8.5,0
292,300.0,102.0,2,1.5,2.0,,0
323,314.0,107.0,2,2.5,4.0,8.27,0
260,331.0,119.0,4,5.0,4.5,9.34,1
111,305.0,,5,3.0,3.0,,0
99,332.0,119.0,4,5.0,4.5,9.24,1
38,300.0,105.0,1,1.0,2.0,7.8,0
156,312.0,109.0,3,3.0,3.0,8.69,0
394,317.0,104.0,2,3.0,3.0,8.76,0
109,331.0,,5,5.0,5.0,9.38,1
59,300.0,99.0,1,3.0,2.0,6.8,1
147,315.0,105.0,3,2.0,2.5,8.48,0
305,313.0,106.0,2,2.5,2.0,8.43,0
256,307.0,110.0,4,4.0,4.5,8.37,0
3,316.0,,3,3.0,3.5,8.0,1
306,321.0,109.0,3,3.5,3.5,8.8,1
342,326.0,110.0,3,3.5,3.5,,1
242,317.0,103.0,2,2.5,2.0,8.15,0
102,312.0,,2,2.5,3.0,8.12,0
118,290.0,104.0,4,2.0,2.5,7.46,0
312,328.0,108.0,4,4.5,4.0,9.18,1
400,333.0,117.0,4,5.0,4.0,9.66,1
234,304.0,100.0,2,2.5,3.5,8.07,0
80,294.0,93.0,1,1.5,2.0,7.36,0
81,312.0,105.0,3,2.0,3.0,8.02,1
247,316.0,105.0,3,3.0,3.5,8.73,0
173,322.0,110.0,4,4.0,5.0,9.13,1
277,329.0,113.0,5,5.0,4.5,9.45,1
184,314.0,110.0,3,4.0,4.0,8.8,0
144,340.0,120.0,4,4.5,4.0,9.92,1
9,302.0,102.0,1,2.0,1.5,8.0,0
291,307.0,105.0,2,2.5,3.0,7.65,0
309,312.0,108.0,3,3.5,3.0,8.53,0
155,,108.0,3,3.0,3.5,8.89,0
216,330.0,116.0,5,5.0,4.5,9.36,1
